dialogue,label
"야 너 예비군 훈련 다녀왔어
어 맞아 어제 끝났어
어땠어 힘들진 않았어
이번엔 좀 수월했어 날씨도 좋고
음 좋네 나 예전에 갔을 땐 비 와서 고생했거든
하하 그건 좀 힘들겠다 이번엔 점심도 맛있더라
진짜 뭘로 나왔는데
불고기 덮밥이었는데 꽤 괜찮았어
오 괜찮네 나도 얼른 갔다 와야겠다
그래도 뭐 나쁘지 않았어 후딱 끝나니까
음 알았어 나중에 또 얘기하자
그래 조용히 해야 하니까 끊을게 나중에 봐
응 또 연락해",0
"야 뭐해
어 나 지금 카페야
아 거기 시끄럽네 음 잘 안 들려
잠깐만 조용한 데로 갈게
오케이
어 됐어 이제 말해봐 무슨 일이야
아니 요즘 예비군 훈련 다녀왔잖아
아 진짜 웃기지 않았어
맞아 나중에 진짜 웃겨서 혼자 빵 터졌다니까
하하 나도 그랬어
근데 그거 끝나고 고기 먹으러 갔는데 대박 맛있었어
오 진짜 어디서
거기 저번에 우리가 갔던 곳 있잖아
아 거기 오오 알지 알지
크크 다음에 또 가자 그 때는 나도 갈래
좋지 좋지 나중에 한 번 더 이야기하자
그래 알았어 그럼 나중에 봐
응 연락할게",0
"야 뭐해
어 나 집이야
음 나도 지금 집에 있어
그래서 말인데 군대 얘기 좀 하자
아하하 그때 생각나네 첫 PX 갔을 때 완전 멍했잖아
크크 맞아 초코파이 사면서 그렇게 기뻐할 줄은 몰랐어
그리고 말이야 훈련소에서 그거 알지 화생방 훈련
그때 진짜 미쳤지 눈물 쏟고 어후
맞아 맞아 끝나고 나서 다들 눈이 빨갛게 돼가지고
g 그걸 생각하면 아직도 웃겨
그리고 말이야 밤 근무 서면서 하늘 보는 거 그거 진짜 좋았어
응 맞아 하늘이 그렇게 예쁜 건 또 처음 봤지
그땐 힘들었는데 지금 생각하니까 재밌었어
그래 그때의 일들이 다 추억이지
하 참 시간이 너무 빠르다
맞아 그럼 또 얘기하자 나중에
그래 연락할게 조심히 잘 있어",0
"야 뭐해
어 나 지금 카페야 좀 시끄러워
아 그렇구나 나도 좀 바쁜데 잠깐 말할 시간 있어
응 말해봐
너 군대 갔을 때 진짜 재밌는 일 많았지 않아
아 진짜 많았지 특히 그 훈련소에서 첫날 얘기 기억나
하하 그거 진짜 들어보고 싶었는데
음 그때 우리 조교님이 엄청 엄격한데 웃긴 사람이었거든
진짜 그런 사람들 있지 진지한데 웃기고
맞아 그래서 처음에 매일 웃음 참느라 힘들었어 크크
근데 나도 그 비슷한 경험 있었어 군대에서
아 그래 무슨 일이었는데
훈련 중에 너무 더워서 애들 다 웃통 벗고 얼음물 뒤집어썼어
하하 진짜 웃기다 거긴 진짜 시끄럽네
어 그러니까 카페라 좀 그래
다음에 만나서 더 얘기하자 여기선 잘 안 들리는 거 같아
그래 그럼 나중에 봐
응 연락할게",0
"어 나야
어 그래 뭐해
지금 집이야
아 그래 다행이다 지금 얘기 좀 할 수 있어
응 무슨 일인데
저번에 내가 좀 심했지 미안해
아 그거 얘기하는 거야
응 내가 좀 너무했어 정말로 사과하고 싶어
괜찮아 진짜로 그렇게 신경 안 썼어
그래도 내가 좀 더 조심했어야 했는데
음 알았어 그러면 다음부터는 좀 더 조심해줘
응 그럴게 앞으로는 더 신경 쓸게
근데 우리 언제 한번 만나야지
그럴까
주말에 시간 어때
좋아 나중에 시간 맞춰서 보자
그래 연락할게",0
"야 뭐해
카페에서 커피 마시고 있어 너는
나도 좀 전에 커피 한 잔 했지 근데 잠깐 얘기할 게 있어서
왜 무슨 일인데
그때 나 좀 심했던 거 같아서 미안해
아 그때 일 말이야 갑자기 생각났는데 아니야 나도 좀 과했어
아직 좀 마음에 걸려서 지금도 생각하면 좀 그래
에이 그런 말 마 이제 다 잊자고 우리가 친구잖아
그래도 내가 너무 성급했어 진짜 미안해
알았어 걱정 마 다음에 만나서 맛있는 거 사줘
아 그러지 잠깐만 통화 잘 안 들리는데 좀 조용한 데로 가볼게
오케이 그래
다음에 시간 맞춰서 보자 언제가 좋을까
다음 주 주말에 시간 될 거 같아 그때 보자
좋아 그럼 그렇게 하자 연락할게
응 그래 고마워",0
"야 뭐해
나 지금 집에서 쉬고 있어
오늘 네 생일 맞지
어 맞아 고마워
선물 준비했어 나중에 줄게
아 진짜 기대된다 하하
우리 저녁에 만나서 밥 먹자
좋지 어디에서 볼까
집 안에서 있다가 밑에 맛집에서 보자
오케이 그럼 저녁때 연락해
응 연락하고 나갈게
알았어 생일 축하해 다시
고마워 조용히 잘 보내고 있어 하하",0
"야 뭐해
어 나 지금 밖에 있어 걷는 중이야
오늘 너 생일이라서 전화했어
고마워 어쩐일이야
축하해 아주 특별한 날이잖아
맞아 맞아 근데 바람이 좀 불어 시원하긴 해
오 그럼 더 좋지 바람 덕분에 더 상쾌하겠다
어 근데 오늘 시간 있으면 같이 저녁 먹을래
완전 좋지 너랑 같이 하면 즐거울 것 같아
그럼 몇 시쯤 만날까
음 저녁 7시쯤 어때 그때쯤 배도 고플 거 같아
좋아 장소는 어디로 할까
밖에 나와 있는 김에 공원 근처에 있는 그 식당 어때
좋아 그럼 그때 보자 안녕
그래 나중에 봐",0
"야 뭐해
밖에 나와 있어
음 잘했어 그거
뭐가
취업했다며 크크
맞아 맞아 고마워
어디로 간 거야
어 회사 이름은 비밀인데 하하
오 대단하다 분위기 어때
바람 불어서 시원해 음 기분 좋다
하긴 이런 날씨에 좋은 소식이니까
그러게 기분 진짜 좋아
어디서 전화하는 거야
지금 공원에서 걷고 있어
그럼 오늘 밤에 축하 파티 해
좋아 그럼 시간 맞춰볼게",0
"야 뭐해
어 나 그냥 방에서 쉬고 있어
듣자 하니 드디어 취업에 성공했다며
맞아 하하 드디어 됐어
대박 축하한다니까 얼마나 고생했어
맞아 진짜 긴 시간 동안 준비했는데 드디어 됐어
나 진짜 네가 고생한 거 알아 너 노력한 보람 제대로 찾았네
고마워 그동안 네가 많이 도와줘서 가능했지
너무 잘됐다 이제 뭐 시작하면 되는 거야
한 달 뒤에 시작해 회사 분위기도 좋아서 기대돼
오 좋다 한 달 동안 뭐하면서 보낼 거야
좀 쉬면서 이것저것 준비하려고 그동안 못갔던 여행도 좀 다니고
좋은 계획이네 그럼 우리도 한번 모여서 축하해줘야지
그래 그러자 한번 다 같이 만나서 놀자
알겠어 그럼 일정 잡아서 말해줘
그럴게 연락할게 고마워
응 그럼 나중에 봐",0
"야 뭐해 거기 되게 시끄럽네
어 나 카페에 있어 음 잘 안 들려
아 그래 잠깐 밖에 나가 봐
좋아 음 이젠 잘 들려
너 혹시 어제 들었어
어 뭔데
아니 그 준호랑 서린아이가 드디어 축하해줄 일이 있다며 하하
아 진짜 어쩐지 요즘 연락이 뜸하다 했어
그치 너도 보고 싶지 않아 한번 가자
좋지 가서 축하 많이 해주자
얼마나 기분 좋을까
그러게 나도 기대돼
한번 모이자 언제가 좋을까
이번 주말 어때
괜찮아 그럼 주말에 보자
응 알았어 연락해줘 그럼
그래 나중에 봐
집에 조심히 올라가
고마워 너도 잘 들어가",0
